"ProjectGroup","FailedReleases"
"Psyri",9338
"Argolstolion",7949
"Arkoudi",7387
"Ios",6622
"Syntagma",6220
"Ithaca",2679
"Corinth",1762
"Sounion",1729
"Palaiokastritsa",1686
"Neapoli",1512
"Pireas",1478
"Megalopolis",1468
"Crete",1455
"Galatsi",1342
"Lefkada",1013
"Sparti",966
"Corfu",906
"Monastiraki",854
"Atokos",785
"Methana",695
"Sami",655
"Nydri",622
"Klisidi",610
"Galaxidi",500
"Sidari",494
"Acropolis",418
"Naplion",385
"Santorini",360
"Spetses",354
"Kallithea",352
"Ikaria",348
"Athena",342
"Skopelos",332
"Kefalonia",327
"Poros",323
"Sivota",309
"Alimos",284
"Patras",267
"Vliho",265
"Samos",255
"Serifos",238
"Olympia",236
"Plaka",232
"Skiathos",205
"Pilos",192
"Delphi",173
"Kalamata",137
"Adamantas",127
"Marmari",122
"Kos",106
"Fiskardo",105
"Naxos",104
"Leros",90
"Keroni",90
"Chania",82
"Preveza",77
"Kioni",75
"Kolonaki",61
"Rafina",60
"Amorogos",48
"Marathon",26
"Epidavros",24
"Vathi",23
"Frickes",18
"Vasiliki",17
"Heraklion",16
"Methoni",16
"Kefalos",9
"Idra",9
"Lixouri",8
"Sifnos",7
"Kea",6
"Vouliagmeni",6
"Meganisi",4
"Kalamos",3
